Car,Style,Range,Transmission,VehicleType,PriceRange,Capacity,BootSpace,BaseModel,TopModel
Tata Nexon EV,Compact SUV,312,Automatic,Electric,13.99,5,350,XM ,Dark XZ Plus LUX 
Tata Tigor EV,Subcompact Sedan,306,Automatic,Electric,12.49,5,316,XE ,XZ Plus Dual Tone 
Tata Nexon EV Max,Compact SUV,437,Automatic,Electric,17.74,5,350,XZ Plus 3.3 kW ,XZ Plus Lux 7.2 kW 
MG ZS EV,Compact SUV,419,Automatic,Electric,21.99,5,448,Excite ,Exclusive 
Hyundai Kona Electric,Compact SUV,452,Automatic,Electric,23.79,5,450,Premium Dual Tone ,HSE 
Jaguar I-Pace,Premium Midsize Sedan,470,Automatic,Electric,106,5,656,S ,Sportback 55 
Audi E-Tron GT,Premium Coupe,388,Automatic,Electric,180,5,405,Quattro ,na
BYD E6,Subcompact MPV,415,Automatic,Electric,29.15,5,580,STD ,na
Mercedes-Benz EQC,Compact SUV,417,Automatic,Electric,100,5,550,na,na
BMW iX,Premium Fullsize SUV,425,Automatic,Electric,116,5,500,na,na
Porsche Taycan,Premium Sports Sedan,320,Automatic,Electric,150,4,600,na,na
Audi E-Tron,Compact SUV,400,Automatic,Electric,101,5,660,na,na
